codigo_bps;desc;quant;und;valor_unit;valor_total
BR0292427;"DEXAMETASONA, DO-
SAGEM: 4 MG,ML, 
FORMA FARMACÊU-
TICA: SOLUÇÃO INJETÁ-
VEL - AMPOLA 2,5ML.";1200;AMPOLA;R$          2,3041;R$ 2.764,92
BR0298454;"DEXCLORFENIRAMINA 
MALEATO, DOSAGEM: 
0,4 MG,ML, APRESEN-
TAÇÃO: SOLUÇÃO 
ORAL- FRASCO 100ML.";18720;FRASCO;R$          1,8995;R$ 35.558,64
BR0267645;"DEXCLORFENIRAMINA 
MALEATO, DOSAGEM: 2 
MG";124800;COMPRIMIDO;R$          0,0682;R$ 8.511,36
BR0270992;"DICLOFENACO, APRE-
SENTAÇÃO: SAL POTÁS-
SICO, DOSAGEM: 50 MG";93600;COMPRIMIDO;R$          0,0833;R$ 7.796,88
BR0271003;"DICLOFENACO, APRE-
SENTAÇÃO: SAL SÓ-
DICO, DOSAGEM: 
25MG,ML, USO: SOLU-
ÇÃO INJETÁVEL- AM-
POLA 3ML.";1248;AMPOLA;R$          1,1993;R$ 1.496,73
BR0271000;"DICLOFENACO, APRE-
SENTAÇÃO: SAL SÓ-
DICO, DOSAGEM: 50 
MG";140400;COMPRIMIDO;R$          0,0660;R$ 9.266,40
BR0267647;"DIGOXINA, DOSAGEM: 
0,25 MG";93600;COMPRIMIDO;R$          0,1769;R$ 16.557,84
BR0272336;"DIMENIDRINATO, APRE-
SENTAÇÃO:ASSOCIADO 
COM PIRIDOXINA + GLI-
COSE + FRUTOSE, DOSA-
GEM:3MG + 5MG + 
100MG + 100MG/ML, 
TIPO MEDICA-
MENTO:SOLUÇÃO INJE-
TÁVEL";1440;AMPOLA;R$          7,3765;R$ 10.622,16
BR0392118;"DIMETICONA, CONCEN-
TRAÇÃO: 75 MG,ML, 
FORMA FARMACEU-
TICA: SUSPENSÃO ORAL 
- GOTAS. EMBALAGEM 
10ML.";43200;FRASCO;R$          1,7262;R$ 74.571,84
BR0269592;"DIMETICONA, DOSA-
GEM: 40 MG";420000;COMPRIMIDO;R$          0,1136;R$ 47.712,00
BR0267203;"DIPIRONA SÓDICA, DO-
SAGEM: 500 MG";936000;COMPRIMIDO;R$          0,1384;R$ 129.542,40
BR0268252;"DIPIRONA SÓDICA, DO-
SAGEM: 500 MG,ML, 
APRESENTAÇÃO: SOLU-
ÇÃO INJETÁVEL - AM-
POLA 2ML.";1560;AMPOLA;R$          1,9799;R$ 3.088,64
BR0267205;"DIPIRONA SÓDICA, DO-
SAGEM: 500 MG,ML, 
APRESENTAÇÃO: SOLU-
ÇÃO ORAL (GOTAS) - 
GOTAS - FRASCO 10ML.";46800;FRASCO;R$          1,1685;R$ 54.685,80
BR0268446;"DOBUTAMINA CLORI-
DRATO, DOSAGEM: 12,5 
MG,ML, INDICAÇÃO: IN-
JETÁVEL - AMPOLA 
20ML.";300;AMPOLA;R$          6,4095;R$ 1.922,85
BR0269963;"DOMPERIDONA 
1MG/ML- FRASCO 
100ML";5850;FRASCO;R$        11,3365;R$ 66.318,53
BR0269962;DOMPERIDONA 10MG;4680;COMPRIMIDO;R$          0,1103;R$ 516,20
BR0268960;"DOPAMINA, DOSAGEM: 
5 MG,ML, APRESENTA-
ÇÃO: SOLUÇÃO INJETÁ-
VEL - AMPOLA 10ML.";480;AMPOLA;R$          4,9739;R$ 2.387,47
BR 0272580;"DORZOLAMIDA 2% - 
FRASCO 5ML";7020;Frasco;R$        24,0310;R$ 168.697,62
BR0268493;DOXAZOSINA 2MG;43200;COMPRIMIDO;R$          0,0857;R$ 3.702,24
BR0268495;DOXAZOSINA 4MG;36000;COMPRIMIDO;R$          0,1980;R$ 7.128,00
BR0267651;"ENALAPRIL MALEATO, 
DOSAGEM: 10 MG";720000;COMPRIMIDO;R$          0,0415;R$ 29.880,00
BR0267652;"ENALAPRIL MALEATO, 
DOSAGEM: 20 MG";660000;COMPRIMIDO;R$          0,0490;R$ 32.340,00
BR0267650;"ENALAPRIL MALEATO, 
DOSAGEM: 5 MG";780000;COMPRIMIDO;R$          0,0556;R$ 43.368,00
BR0268255;"EPINEFRINA, DOSAGEM: 
1MG,ML, USO: SOLU-
ÇÃO INJETÁVEL- AM-
POLA 1ML.";1440;AMPOLA;R$          1,1596;R$ 1.669,82
BR0269994;"ERITROMICINA 250MG - 
SUSPENSÃO";7200;FRASCO;R$          5,3436;R$ 38.473,92
BR0269992;ERITROMICINA 500MG;93600;COMPRIMIDO;R$          0,9361;R$ 87.618,96
BR0267283;ESCOPOLAMINA 10MG;140400;COMPRIMIDO;R$          0,5039;R$ 70.747,56
BR0267281;"ESCOPOLAMINA 10MG/ 
20ML";9360;FRASCO;R$          7,9703;R$ 74.602,01
BR0270620;"ESCOPOLAMINA BUTIL-
BROMETO, APRESENTA-
ÇÃO: ASSOCIADA COM 
DIPIRONA SÓDICA, DO-
SAGEM: 10MG + 
250MG";210600;COMPRIMIDO;R$          0,3560;R$ 74.973,60
BR0270621;"ESCOPOLAMINA BUTIL-
BROMETO, APRESENTA-
ÇÃO: ASSOCIADA COM 
DIPIRONA SÓDICA, DO-
SAGEM: 4MG + 
500MG,ML, INDICAÇÃO: 
SOLUÇÃO INJETÁVEL - 
AMPOLA 5ML.";1872;AMPOLA;R$          2,4458;R$ 4.578,54
BR0270622;"ESCOPOLAMINA BUTIL-
BROMETO, APRESENTA-
ÇÃO: ASSOCIADA COM 
DIPIRONA SÓDICA, DO-
SAGEM: 6,67MG + 
333MG,ML, INDICAÇÃO: 
SOLUÇÃO ORAL. EMBA-
LAGEM 20ML";12480;FRASCO;R$          6,4553;R$ 80.562,14
BR0267282;"ESCOPOLAMINA BUTIL-
BROMETO, DOSAGEM: 
20 MG,ML, INDICAÇÃO: 
SOLUÇÃO INJETÁVEL - 
AMPOLA 1ML. """;936;AMPOLA;R$          1,3052;R$ 1.221,67
BR0399412;"ESPINHEIRA-SANTA 
(MAYTENUS ILICIFOLIA 
MART. EX REISSEK)";144000;COMPRIMIDO;R$          0,3000;R$ 43.200,00
BR0267654;"ESPIRONOLACTONA 
100MG";312000;COMPRIMIDO;R$          0,6025;R$ 187.980,00
BR0338134;"ESPIRONOLACTONA 
50MG";187200;COMPRIMIDO;R$          0,3735;R$ 69.919,20
BR0338134;"ESPIRONOLACTONA 
50MG";62400;COMPRIMIDO;R$          0,2152;R$ 13.428,48
BR0267653;"ESPIRONOLACTONA, 
DOSAGEM: 25 MG";351000;COMPRIMIDO;R$          0,2152;R$ 75.535,20
BR0267208;ESTRIOL 1MG/G;14040;BISNAGA;R$        21,3650;R$ 299.964,60
BR0356602;"ESTRÓGENO CONJUGA-
DOS 0,3MG";24000;COMPRIMIDO;R$          0,9700;R$ 23.280,00
BR0271435;"ESTRÓGENO CONJUGA-
DOS 0,625MG - CREME  
VAGINAL";3600;BISNAGA;R$        33,7852;R$ 121.626,72
BR0272198;"ETILEFRINA CLORI-
DRATO, COMPOSIÇÃO: 
10MG,ML, APRESENTA-
ÇÃO: INJETÁVEL - AM-
POLA 1ML.";780;AMPOLA;R$          1,6229;R$ 1.265,86
BR0396471;"FENOTEROL BROMI-
DRATO, CONCENTRA-
ÇÃO: 5 MG,ML, FORMA 
FARMACEUTICA: SOLU-
ÇÃO ORAL. EMBALA-
GEM 20ML";936;FRASCO;R$          5,9889;R$ 5.605,61
BR0292399;"FITOMENADIONA, DO-
SAGEM: 10 MG,ML, 
APRESENTAÇÃO: SOLU-
ÇÃO INJETÁVEL (VIT K) - 
AMPOLA 1ML.";936;AMPOLA;R$          2,3229;R$ 2.174,23
BR0267662;"FLUCONAZOL, DOSA-
GEM: 150 MG";93600;CÁPSULA;R$          0,5006;R$ 46.856,16
BR0272944;"FLUORESCEÍNA SÓDIA 
1%- FRASCO 3ML - SO-
LUÇÃO OFTALMOLÓ-
GICA";43;FRASCO;R$        24,6214;R$ 1.058,72
BR0267666;"FUROSEMIDA, COMPO-
SIÇÃO: 10 MG,ML, 
APRESENTAÇÃO: SOLU-
ÇÃO INJETÁVEL - AM-
POLA 10ML.";1560;AMPOLA;R$          1,6754;R$ 2.613,62
BR0267663;"FUROSEMIDA, DOSA-
GEM: 40 MG";936000;COMPRIMIDO;R$          0,0491;R$ 45.957,60
BR0267671;"GLIBENCLAMIDA, DOSA-
GEM: 5 MG";900000;COMPRIMIDO;R$          0,0286;R$ 25.740,00
BR0442754;"GLICLAZIDA, CONCEN-
TRAÇÃO: 30 MG, 
FORMA FARMACÊU-
TICA:LIBERAÇ 
ÃO PROLONGADA";46800;COMPRIMIDO;R$          0,1459;R$ 6.828,12
BR0270019;"GLICONATO DE CÁLCIO, 
DOSAGEM: 10%, APRE-
SENTAÇÃO: SOLUÇÃO 
INJETÁVEL - AMPOLA 
10ML.";600;AMPOLA;R$          2,0011;R$ 1.200,66
BR0270092;"GLICOSE, CONCENTRA-
ÇÃO: 5%, INDICAÇÃO: 
SOLUÇÃO INJETÁVEL, 
CARACTERÍSTICAS ADI-
CIONAIS: SISTEMA FE-
CHADO - 500ML.";1872;FRASCO;R$          5,6572;R$ 10.590,28
BR0267541;"GLICOSE, CONCENTRA-
ÇÃO: 50%, INDICAÇÃO: 
SOLUÇÃO INJETÁVEL - 
10ML.";4800;AMPOLA;R$          0,6364;R$ 3.054,72
BR0439843;"GUACO (MIKANIA GLO-
MERATA SPRENG.)";7200;FRASCO;R$          2,8000;R$ 20.160,00
BR0272796;"HEPARINA 5.000 UI/ML 
FRASCO K ML";60;AMPOLA;R$        18,1137;R$ 1.086,82
BR0268115;"HIDRALAZINA, DOSA-
GEM: 20 MG,ML, INDI-
CAÇÃO: SOLUÇÃO INJE-
TÁVELL - AMPOLA 1ML.";600;AMPOLA;R$          5,6219;R$ 3.373,14
BR0267674;"HIDROCLOROTIAZIDA, 
DOSAGEM: 25 MG";1482000;COMPRIMIDO;R$          0,0295;R$ 43.719,00
BR0270220;"HIDROCORTISONA, 
PRINCÍPIO ATIVO: 
100MG, APRESENTA-
ÇÃO: INJETÁVEL";960;FRASCO/AMPOLA;R$          3,1320;R$ 3.006,72
BR0270219;"HIDROCORTISONA, 
PRINCÍPIO ATIVO: 
500MG, APRESENTA-
ÇÃO: INJETÁVEL";720;FRASCO/AMPOLA;R$          5,0568;R$ 3.640,90
BR0332426;"HIDRÓXIDO DE ALUMÍ-
NIO, COMPOSIÇÃO: AS-
SOCIADO AO HIDRÓ-
XIDO DE MAGNÉSIO, 
CONCENTRAÇÃO: 60 
MG + 40 MG,ML, 
FORMA FARMACEU-
TICA: SUSPENSÃO ORAL. 
EMBALAGEM 100ML";21840;FRASCO;R$          3,1468;R$ 68.726,11
BR00267677;"IBUPROFENO, DOSA-
GEM: 300 MG";62400;COMPRIMIDO;R$          0,1600;R$ 9.984,00
BR0294643;"IBUPROFENO, DOSA-
GEM: 50 MG,ML, 
FORMA FARMACÊU-
TICA: SUSPENSÃO ORAL. 
FRASCO 30ML";37440;FRASCO;R$          2,1708;R$ 81.274,75
BR0267676;"IBUPROFENO, DOSA-
GEM: 600 MG";374400;COMPRIMIDO;R$          0,1704;R$ 63.797,76
BR0268331;"IPRATRÓPIO BROMETO, 
DOSAGEM: 0,25 
MG,ML, USO: SOLUÇÃO 
PARA INALAÇÃO - 
FRASCO 20ML.";5184;FRASCO;R$          1,1160;R$ 5.785,34
BR0273400;"ISOSSORBIDA, PRINCÍ-
PIO ATIVO: SAL MONO-
NITRATO, DOSAGEM: 20 
MG";108000;COMPRIMIDO;R$          0,1700;R$ 18.360,00
BR0273401;"ISOSSORBIDA, PRINCÍ-
PIO ATIVO: SAL MONO-
NITRATO, DOSAGEM: 40 
MG";72000;COMPRIMIDO;R$          0,3121;R$ 22.471,20
BR0273395;"ISOSSORBIDA, PRINCÍ-
PIO ATIVO: SAL MONO-
NITRATO, DOSAGEM: 5 
MG, TIPO MEDICA-
MENTO: SUBLINGUAL";46800;COMPRIMIDO;R$          0,2941;R$ 13.763,88
BR0268861;"ITRACONAZOL, DOSA-
GEM: 100 MG";105300;CÁPSULA;R$          0,9447;R$ 99.476,91
BR0376767;"IVERMECTINA, CON-
CENTRAÇÃO: 6 MG";72000;COMPRIMIDO;R$          0,4661;R$ 33.559,20
BR0383750;"LACTULOSE, CONCEN-
TRAÇÃO: 667 MG,ML, 
FORMA FARMACEU-
TICA: XAROPE.EMBALA-
GEM COM 120 ML.";780;FRASCO;R$          5,9898;R$ 4.672,04
BR0270129;"LEVODOPA + CABIDOPA 
200 + 50MG";3600;COMPRIMIDO;R$          0,6724;R$ 2.420,64
BR0270130;"LEVODOPA + CABIDOPA 
250 + 25MG";5400;COMPRIMIDO;R$          0,7698;R$ 4.156,92
BR0268125;"LEVOTIROXINA SÓDICA, 
DOSAGEM: 100 MCG";202800;COMPRIMIDO;R$          0,1010;R$ 20.482,80
BR0268124;"LEVOTIROXINA SÓDICA, 
DOSAGEM: 25 MCG";226200;COMPRIMIDO;R$          0,1277;R$ 28.885,74
BR0268123;"LEVOTIROXINA SÓDICA, 
DOSAGEM: 50 MCG";195000;COMPRIMIDO;R$          0,1297;R$ 25.291,50
BR0275402;"LIDOCAÍNA + EPINE-
FRINA 2%+ 1:200.000";240;AMPOLA;R$          9,9738;R$ 2.393,71
BR0269845;"LIDOCAÍNA CLORI-
DRATO, DOSAGEM: 
10%, APRESENTAÇÃO: 
SPRAY. FRASCO 50ML";84;FRASCO;R$        49,4758;R$ 4.155,97
BR0269846;"LIDOCAÍNA CLORI-
DRATO, DOSAGEM: 2%, 
APRESENTAÇÃO: GELÉIA 
- BISNAGA 30G.";4680;BISNAGA;R$          2,8087;R$ 13.144,72
BR0269843;"LIDOCAÍNA CLORI-
DRATO, DOSAGEM: 2%, 
APRESENTAÇÃO: INJE-
TÁVEL -  AMPOLA 20ML.";1248;AMPOLA;R$          6,6995;R$ 8.360,98
BR0273466;"LORATADINA, CONCEN-
TRAÇÃO: 10MG";187200;COMPRIMIDO;R$          0,0851;R$ 15.930,72
BR0273467;"LORATADINA, CONCEN-
TRAÇÃO: 1MG,ML, TIPO 
MEDICAMENTO: XA-
ROPE - FRASCO 100ML.";15600;FRASCO;R$          2,7364;R$ 42.687,84
BR0268856;"LOSARTANA POTÁSSICA, 
DOSAGEM: 50 MG";1638000;COMPRIMIDO;R$          0,0581;R$ 95.167,80
BR0299675;MANITOL 20% - 250ML;240;FRASCO;R$          9,0490;R$ 2.171,76
BR0267692;"MEBENDAZOL, DOSA-
GEM: 100 MG";54600;COMPRIMIDO;R$          0,3042;R$ 16.609,32
BR0267694;"MEBENDAZOL, DOSA-
GEM: 20 MG,ML, APRE-
SENTAÇÃO: SUSPENSÃO 
ORAL. EMBALAGEM 
30ML";18720;FRASCO;R$          1,6145;R$ 30.223,44
BR0273555;MELOXICAN10MG/ML;120;AMPOLA;R$          3,1577;R$ 378,92
BR0267690;"METFORMINA CLORI-
DRATO, DOSAGEM: 500 
MG";780000;COMPRIMIDO;R$          0,1024;R$ 79.872,00
BR0267691;"METFORMINA CLORI-
DRATO, DOSAGEM: 850 
MG";1111500;COMPRIMIDO;R$          0,1055;R$ 117.263,25
BR0273690;"METILCELULOSE 2% - 
FRASCO 10ML";29;FRASCO;R$        21,6920;R$ 629,07
BR0267689;"METILDOPA, DOSAGEM: 
250 MG";312000;COMPRIMIDO;R$          0,4790;R$ 149.448,00
BR0267688;"METILDOPA, DOSAGEM: 
500 MG";18000;COMPRIMIDO;R$          0,8579;R$ 15.442,20
